strategy,model,alpha,alpha_t,alpha_p,R2,adj_R2,beta_MktRF,beta_SMB,beta_HML,beta_RMW,beta_CMA
strategy_1A_med,CAPM,0.002312290075283701,1.9181478085838508,0.05509227184722798,0.09223655865594671,0.08990896008839788,-0.14254904106914432,,,,
strategy_1A_med,FF3,0.0013934844901910253,1.7221720746768046,0.08503835189337774,0.4847956990277421,0.4808121606181628,-0.12578351422885253,0.06950489331495627,0.38424814770944293,,
strategy_1A_med,FF5,-0.0008443021750583564,-1.3028731195399585,0.19261808233509703,0.6670578494726919,0.6627451273156024,-0.032929641859098205,0.16257643241654196,0.12255315624150735,0.27737537695266884,0.45721942533634924
static_basket,CAPM,0.0006281338681703505,0.5099842425440011,0.6100625012571239,0.0318687682958293,0.02938638052222886,-0.06689982004219167,,,,
static_basket,FF3,-0.00033095220177188953,-0.7412255577918351,0.4585566894216645,0.8391069812938396,0.8378629631079673,-0.06354918776983427,0.16871534073331756,0.41588867240729,,
static_basket,FF5,-0.002007279625582711,-8.889430212424271,6.142306918826982e-19,0.9888190711845513,0.9886742405004133,0.0012356419007263598,0.25528955408543913,0.2449912267850937,0.25247088528029343,0.25464232567541556
good_only,CAPM,-0.0009531639096046323,-0.610420528109439,0.5415832731343155,0.007210207670299118,0.0046645928181716645,0.044223454489696126,,,,
good_only,FF3,-0.001986074330925658,-8.846024121318294,9.069266307057696e-19,0.9941971183287962,0.9941522506870085,0.00033893598701277734,0.5044670179946724,0.49755966438879573,,
good_only,FF5,-0.002007279625582688,-8.889430212424172,6.14230691883255e-19,0.9942109813588962,0.994135994070799,0.0012356419007263217,0.5052895540854391,0.494991226785094,0.0024708852802933987,0.004642325675415483
bad_only,CAPM,0.0022094316459453363,1.960719985641871,0.04991169637151947,0.1664392142389396,0.16430187889083436,-0.17802309457407944,,,,
bad_only,FF3,0.0013241699273818788,1.6753872268532521,0.0938582811060087,0.5556396413074391,0.5522038653381668,-0.1274373115266814,-0.16703633652803732,0.33421768042578437,,
bad_only,FF5,-0.002007279625582734,-8.889430212424376,6.142306918821238e-19,0.9917535796700465,0.9916467607538554,0.0012356419007263936,0.005289554085439321,-0.005008773214906514,0.5024708852802936,0.5046423256754156
mkt_rf_benchmark,CAPM,-0.0019937670704471867,-8.78652019155829,1.542639670182414e-18,0.9984200595436235,0.9984160084142482,1.0012222307956349,,,,
mkt_rf_benchmark,FF3,-0.0019860743309256567,-8.846024121318289,9.069266307058085e-19,0.9984323337820759,0.9984202126515249,1.0003389359870132,0.004467017994672612,-0.002440335611204455,,
mkt_rf_benchmark,FF5,-0.002007279625582563,-8.889430212423619,6.142306918863035e-19,0.9984360789220248,0.9984158208769733,1.0012356419007262,0.005289554085439116,-0.005008773214905726,0.0024708852802932495,0.004642325675415192
