strategy,model,DW,BP_p,JB_p,max_VIF,adj_R2
strategy_1A_med,CAPM,1.7451665941666559,0.07892759590057101,6.46612338788817e-27,,0.08990896008839788
strategy_1A_med,FF3,1.8513546390530595,0.00028352483487677937,4.913256750289743e-13,1.0625817694323385,0.4808121606181628
strategy_1A_med,FF5,1.8651416041152848,2.4085569262193954e-07,9.483806471143062e-156,2.0215299405121705,0.6627451273156024
static_basket,CAPM,1.68006892574513,0.0001945331356808126,2.6942057628079813e-30,,0.02938638052222886
static_basket,FF3,1.5432657081265058,0.08663672508271895,7.419725652947444e-13,1.0625817694323385,0.8378629631079673
static_basket,FF5,0.05036578581710896,0.6423475872267166,8.597996894733835e-09,2.0215299405121705,0.9886742405004133
good_only,CAPM,1.8310262693865025,0.0044744344909494,3.726372283521181e-12,,0.0046645928181716645
good_only,FF3,0.04807868964992845,0.28290209961150986,7.399365897532735e-09,1.0625817694323385,0.9941522506870085
good_only,FF5,0.05036578581710746,0.6423475872268227,8.597996894733398e-09,2.0215299405121705,0.994135994070799
bad_only,CAPM,1.708276315205263,0.15054385696472783,8.467950108515131e-121,,0.16430187889083436
bad_only,FF3,1.6396219566056272,0.01808083757629625,2.6265068999731325e-16,1.0625817694323385,0.5522038653381668
bad_only,FF5,0.050365785817110195,0.6423475872267098,8.597996894734384e-09,2.0215299405121705,0.9916467607538554
mkt_rf_benchmark,CAPM,0.03532183861853051,0.17200305701289992,3.272329925435095e-09,,0.9984160084142482
mkt_rf_benchmark,FF3,0.04807868964993108,0.28290209961153523,7.399365897533665e-09,1.0625817694323385,0.9984202126515249
mkt_rf_benchmark,FF5,0.05036578581710691,0.6423475872268758,8.597996894733494e-09,2.0215299405121705,0.9984158208769733
