strategy,model,alpha,alpha_t,alpha_p,R2,adj_R2,beta_MktRF,beta_SMB,beta_HML,beta_RMW,beta_CMA
strategy_1A_med,CAPM,-0.002394062142787845,-0.4912279176781137,0.62326525547289,0.0005686571619812897,-0.003893089904259961,-0.03758078970588449,,,,
strategy_1A_med,FF3,-0.002350375895679465,-0.4700290380153557,0.638334271477726,0.007968577130560761,-0.005437252908215617,-0.07653860023375274,0.2506885532861946,-0.09722543654571685,,
strategy_1A_med,FF5,-0.004311316630867572,-0.9170338529651536,0.3591249009516003,0.017413100370483714,-0.004918420075641583,-0.017237051731503587,0.3478262658962464,-0.2377162414110922,0.3186725648624631,0.17522007687628824
static_basket,CAPM,-0.0026809412359450327,-0.947191978064563,0.3435409623282306,0.0015449653510106742,-0.005962215360636014,0.02343738290225923,,,,
static_basket,FF3,-0.0009538673772157716,-0.4032824139458648,0.6867404774658274,0.2473575166959343,0.2301214292920245,-0.056238356155405844,0.3812320163127535,0.13266967777853128,,
static_basket,FF5,-0.0013556010097938137,-0.5981951093876975,0.5497097543103049,0.29250058339284957,0.26507812538482045,-0.030798573322506274,0.4457449381422792,-0.027043335430037237,0.06710595403019982,0.3359815595085577
good_only,CAPM,-0.004072652189594844,-0.832441908792586,0.4051595549165623,0.013666930982367709,0.0062508928694531285,0.10552776960992231,,,,
good_only,FF3,-0.0007202872888696148,-0.23911962749506174,0.811012822644014,0.4873945637667543,0.4756555079751532,-0.03564203020650604,0.6514384638919359,0.42382220442959245,,
good_only,FF5,-0.001192675512055389,-0.41060251712298285,0.6813640176950156,0.541691785822003,0.5239279015515379,0.014727906651408156,0.7290583126729797,0.16650813647121085,0.02982563672717476,0.5726915248145795
bad_only,CAPM,-0.003667448937945637,-0.8499243305178801,0.39536715754306473,0.005877768055793098,0.0023649686496297617,-0.11858345444883557,,,,
bad_only,FF3,-0.003616948975501283,-0.8249732501048875,0.40938677766314624,0.012669012010380842,0.0021281117827335327,-0.11775647833628929,0.027893250038666554,-0.1854641933257637,,
bad_only,FF5,-0.005507419784367535,-1.407159299131713,0.15938015752080992,0.026305798464273833,0.008856081590873699,-0.07256227189325967,0.12436842411754695,-0.20663908677791057,0.39429762441304006,-0.12097552623342886
mkt_rf_benchmark,CAPM,-0.0015159704626109512,-6.287780035531845,3.22037760924597e-10,0.9987395557413711,0.9987353682189172,1.0032513460596089,,,,
mkt_rf_benchmark,FF3,-0.001514160471675268,-6.3150154858929115,2.701344247055536e-10,0.9987418152059335,0.9987291912782339,1.003070477346596,0.0007088527156361918,-0.0019267147175094526,,
mkt_rf_benchmark,FF5,-0.0015186039637437537,-6.220160766376945,4.966457397230229e-10,0.9987423835208865,0.9987212115262887,1.0032894147199127,0.0006084414958548246,-0.0027281003281312537,-0.00010992427251874136,0.0020934863147806827
