strategy,model,DW,BP_p,JB_p,max_VIF,adj_R2
strategy_1A_med,CAPM,2.079103732641687,0.11573852169646288,3.4977611880124157e-149,,-0.003893089904259961
strategy_1A_med,FF3,2.073362720322567,0.4471901244206593,1.4935857887890651e-146,1.2158851939461561,-0.005437252908215617
strategy_1A_med,FF5,2.0786362745236646,0.2645905211216933,3.270605736869578e-146,1.9017177294383634,-0.004918420075641583
static_basket,CAPM,1.7951560004238436,0.6059231749843648,4.536765160721369e-15,,-0.005962215360636014
static_basket,FF3,1.716612953689717,0.6582811098472001,7.93848302330964e-20,1.2184720689564907,0.2301214292920245
static_basket,FF5,1.773881065650008,0.05547278704282673,9.033845425753805e-16,2.208965718531239,0.26507812538482045
good_only,CAPM,1.7541402489015439,0.43093722896284126,5.776391412100469e-26,,0.0062508928694531285
good_only,FF3,1.5941167290802487,0.3144305829770697,8.094811349748259e-239,1.2184720689564907,0.4756555079751532
good_only,FF5,1.606848451935933,0.08483749678016683,1.1088467600559674e-177,2.208965718531239,0.5239279015515379
bad_only,CAPM,2.1177101778546255,0.09994987497738914,2.040331483096742e-212,,0.0023649686496297617
bad_only,FF3,2.1216506638897825,0.37070454129423247,5.47321436008137e-214,1.1999291889039554,0.0021281117827335327
bad_only,FF5,2.1269369441932904,0.21531429387376466,9.62017713867723e-198,1.8359321049705566,0.008856081590873699
mkt_rf_benchmark,CAPM,0.040980137369224984,0.816935652123522,1.2443638895331556e-09,,0.9987353682189172
mkt_rf_benchmark,FF3,0.043611784220486526,0.7696690796403258,1.5176169202663624e-09,1.0776573198859156,0.9987291912782339
mkt_rf_benchmark,FF5,0.04438818298093346,0.8749270674691076,1.507407864318815e-09,2.0042884627016875,0.9987212115262887
