rebalance_date,selected_lambda,validation_score,n_validation_folds,validation_metric,validation_aggregation
2000-03-31,100000,-0.0982085053992795,2,gross_sharpe,median3
2001-03-31,100000,0.3126197947177338,3,gross_sharpe,median3
2002-03-31,100000,0.3126197947177338,3,gross_sharpe,median3
2003-03-31,1,0.537481903120827,3,gross_sharpe,median3
2004-03-31,100000,0.7857429143532397,3,gross_sharpe,median3
2005-03-31,100000,1.0865630550160523,3,gross_sharpe,median3
2006-03-31,100000,1.0865630550160523,3,gross_sharpe,median3
2007-03-31,100000,0.955844194041951,3,gross_sharpe,median3
2008-03-31,100000,0.7999465113139508,3,gross_sharpe,median3
2009-03-31,1,0.4102345975843655,3,gross_sharpe,median3
2010-03-31,1,0.4102345975843655,3,gross_sharpe,median3
2011-03-31,1,0.25335886495243837,3,gross_sharpe,median3
2012-03-31,1,0.4510234627384611,3,gross_sharpe,median3
2013-03-31,1,0.4510234627384611,3,gross_sharpe,median3
2014-03-31,1,0.4510234627384611,3,gross_sharpe,median3
2015-03-31,100000,0.1719734402088418,3,gross_sharpe,median3
2016-03-31,1,0.14594385777121843,3,gross_sharpe,median3
2017-03-31,100000,0.08361173134420319,3,gross_sharpe,median3
2018-03-31,1,0.04492444379081429,3,gross_sharpe,median3
2019-03-31,1,-0.07229979228560442,3,gross_sharpe,median3
2020-03-31,1,-0.27702087750816434,3,gross_sharpe,median3
2021-03-31,100000,-0.5874615942808878,3,gross_sharpe,median3
2022-03-31,100000,-0.5874615942808878,3,gross_sharpe,median3
2023-03-31,1,0.2002052589131858,3,gross_sharpe,median3
2024-03-31,1,0.48689996777111,3,gross_sharpe,median3
