date,W_RMW,W_CMA,W_HML,turnover,selected_lambda,clip_hit
2000-03-31,0.33333332762955015,0.3333333480153248,0.33333332435512497,0.0,100000,0.0
2000-04-30,0.3333333277690017,0.33333335050421264,0.3333333217267856,5.2566787589469754e-09,100000,0.0
2000-05-31,0.3333333306370977,0.3333333479426154,0.3333333214202869,5.736191965866055e-09,100000,0.0
2000-06-30,0.3333333353820804,0.3333333448571718,0.33333331976074787,9.489965258069333e-09,100000,0.0
2000-07-31,0.33333333103631596,0.3333333489211185,0.3333333200425655,8.691528718962616e-09,100000,0.0
2000-08-31,0.33333332716730213,0.3333333518220905,0.33333332101060736,7.738027718584561e-09,100000,0.0
2000-09-30,0.3333333260244355,0.33333335414718007,0.3333333198283845,4.6501790751385386e-09,100000,0.0
2000-10-31,0.3333333272670848,0.3333333527011492,0.3333333200317659,2.8920615902094937e-09,100000,0.0
2000-11-30,0.3333333282505998,0.3333333530873934,0.3333333186620067,2.7395183899159292e-09,100000,0.0
2000-12-31,0.33333332899271756,0.33333335319361396,0.3333333178136685,1.6966765215009616e-09,100000,0.0
2001-01-31,0.33333332841560215,0.3333333534826212,0.33333331810177647,1.154230655497912e-09,100000,0.0
2001-02-28,0.3333333305900848,0.33333334867497194,0.3333333207349433,9.615298779408477e-09,100000,0.0
2001-03-31,0.33333333187211417,0.33333333422922934,0.3333333338986565,2.8891485148729856e-08,100000,0.0
2001-04-30,0.3333333352538333,0.33333333261270726,0.33333333213345956,6.763438142876055e-09,100000,0.0
2001-05-31,0.3333333380281748,0.33333333038114393,0.33333333159068135,5.548683013056888e-09,100000,0.0
2001-06-30,0.3333333375134642,0.3333333295389256,0.33333333294761003,2.713857583103163e-09,100000,0.0
2001-07-31,0.33333333769632323,0.33333332952462097,0.33333333277905575,3.6571790040795804e-10,100000,0.0
2001-08-31,0.3333333377328849,0.3333333302057364,0.33333333206137866,1.4353542243661366e-09,100000,0.0
2001-09-30,0.33333333737262155,0.3333333303657134,0.333333332261665,7.205266938647981e-10,100000,0.0
2001-10-31,0.33333334029619816,0.33333332829884,0.33333333140496196,5.847153039528763e-09,100000,0.0
2001-11-30,0.33333334053074065,0.3333333283800209,0.3333333310892384,6.314469502832765e-10,100000,0.0
2001-12-31,0.33333334235999396,0.3333333262361971,0.33333333140380894,4.287647625833557e-09,100000,0.0
2002-01-31,0.3333333507972546,0.3333333251861001,0.33333332401664534,1.687452128029676e-08,100000,0.0
2002-02-28,0.33333335094501654,0.33333332530070003,0.33333332375428343,5.247237644390168e-10,100000,0.0
2002-03-31,0.3333333606813082,0.333333322825016,0.3333333164936758,1.9472583323576487e-08,100000,0.0
2002-04-30,0.3333333612710694,0.33333332159737006,0.33333331713156067,2.4552919697384823e-09,100000,0.0
2002-05-31,0.3333333589510742,0.3333333226032034,0.3333333184457225,4.6399903919081e-09,100000,0.0
2002-06-30,0.3333333600923526,0.33333332258113696,0.3333333173265104,2.2825569767626064e-09,100000,0.0
2002-07-31,0.3333333584507374,0.33333332325212844,0.3333333182971341,3.2832303542562613e-09,100000,0.0
2002-08-31,0.33333335770052475,0.33333332423897344,0.3333333180605017,1.973690044732024e-09,100000,0.0
2002-09-30,0.33333335271643166,0.33333332547220834,0.33333332181135994,9.9681862208989e-09,100000,0.0
2002-10-31,0.3333333517244565,0.3333333265953479,0.33333332168019564,2.2462790516541986e-09,100000,0.0
2002-11-30,0.3333333565217602,0.3333333251267498,0.33333331835149,9.594607497387386e-09,100000,0.0
2002-12-31,0.333333356367359,0.3333333238079567,0.33333331982468434,2.9463886330738376e-09,100000,0.0
2003-01-31,0.333333353120784,0.3333333251030027,0.33333332177621333,6.493149962150113e-09,100000,0.0
2003-02-28,0.3333333525393659,0.333333324695621,0.33333332276501293,1.977599362046334e-09,100000,0.0
2003-03-31,0.3333333515357821,0.33333332988708764,0.33333331857713044,1.0382932957853086e-08,100000,0.0
2003-04-30,0.33333335144093057,0.33333332907258556,0.3333333194864838,1.8187069628083918e-09,100000,0.0
2003-05-31,0.3333333525068822,0.33333332926697984,0.33333331822613815,2.520691544383169e-09,100000,0.0
2003-06-30,0.3333333512348912,0.3333333307714066,0.3333333179937022,3.008853666219835e-09,100000,0.0
2003-07-31,0.3333333542569322,0.33333332997396015,0.33333331576910763,6.04408201265727e-09,100000,0.0
2003-08-31,0.3333333562520789,0.33333332730309817,0.333333316444823,5.3417240075681605e-09,100000,0.0
2003-09-30,0.33333335591270546,0.33333332745415123,0.33333331663314314,6.787466144686505e-10,100000,0.0
2003-10-31,0.33333335254441937,0.3333333283515609,0.3333333191040197,6.7365722999923605e-09,100000,0.0
2003-11-30,0.3333333533008401,0.3333333272437737,0.33333331945538625,2.215574446129409e-09,100000,0.0
2003-12-31,0.33333335266243386,0.33333332726197734,0.3333333200755887,1.2768123225370687e-09,100000,0.0
2004-01-31,0.3333333520943454,0.3333333270782038,0.33333332082745076,1.5037240896909054e-09,100000,0.0
2004-02-29,0.33333334986119917,0.333333327017323,0.33333332312147773,4.588053992282681e-09,100000,0.0
2004-03-31,0.33333333191492065,0.33333333542422994,0.33333333266084936,3.5892557093131217e-08,100000,0.0
2004-04-30,0.3333333317311594,0.3333333357027559,0.33333333256608455,5.570520156261694e-10,100000,0.0
2004-05-31,0.3333333325550703,0.3333333343817181,0.33333333306321167,2.6420758358902674e-09,100000,0.0
2004-06-30,0.33333333245172986,0.3333333340973032,0.333333333450967,7.755106556928126e-10,100000,0.0
2004-07-31,0.33333333231116496,0.33333333522986924,0.3333333324589657,2.2651322484357195e-09,100000,0.0
2004-08-31,0.3333333319947462,0.3333333359335052,0.3333333320717485,1.4072719656255117e-09,100000,0.0
2004-09-30,0.3333333311542934,0.33333333657516473,0.3333333322705418,1.6809055813915563e-09,100000,0.0
2004-10-31,0.3333333309694389,0.33333333667846327,0.33333333235209767,3.6970893013688055e-10,100000,0.0
2004-11-30,0.33333333014281125,0.33333333590017705,0.33333333395701176,3.209827958983169e-09,100000,0.0
2004-12-31,0.3333333299495103,0.333333334952522,0.33333333509796764,2.281911881674148e-09,100000,0.0
2005-01-31,0.33333332971809415,0.3333333350914442,0.3333333351904617,4.6283243904099436e-10,100000,0.0
2005-02-28,0.33333332905956414,0.3333333351124846,0.3333333358279514,1.3170600721146286e-09,100000,0.0
2005-03-31,0.3333333342736162,0.3333333269999168,0.333333338726467,1.6225135457403894e-08,100000,0.0
2005-04-30,0.33333333459602466,0.333333327525206,0.33333333787876945,1.6953951575970905e-09,100000,0.0
2005-05-31,0.33333333365488915,0.3333333294535988,0.3333333368915121,3.856785613098879e-09,100000,0.0
2005-06-30,0.33333333324682085,0.33333333249319,0.33333333425998923,6.079182435225761e-09,100000,0.0
2005-07-31,0.3333333326423634,0.3333333337549923,0.3333333336026443,2.523604658577483e-09,100000,0.0
2005-08-31,0.3333333329200752,0.3333333333320761,0.3333333337478485,8.458322375837213e-10,100000,0.0
2005-09-30,0.33333333182544667,0.33333333382580277,0.3333333343487506,2.189257330975636e-09,100000,0.0
2005-10-31,0.33333333272483945,0.33333333368045365,0.33333333359470674,1.7987857869883328e-09,100000,0.0
2005-11-30,0.33333333255940534,0.3333333347865976,0.33333333265399695,2.2122878529096113e-09,100000,0.0
2005-12-31,0.33333333228301015,0.333333335392976,0.3333333323240138,1.212756728374842e-09,100000,0.0
2006-01-31,0.3333333316809664,0.33333333547889804,0.33333333284013555,1.2040875518870564e-09,100000,0.0
2006-02-28,0.3333333310096584,0.3333333360144453,0.33333333297589635,1.3426160738738702e-09,100000,0.0
2006-03-31,0.33333332769947555,0.3333333348303887,0.33333333747013566,8.988478794602628e-09,100000,0.0
2006-04-30,0.33333332857412074,0.3333333335103395,0.3333333379155398,2.64009852868341e-09,100000,0.0
2006-05-31,0.33333332873460647,0.3333333326741911,0.3333333385912025,1.6722968565474616e-09,100000,0.0
2006-06-30,0.33333332868095256,0.33333333198309356,0.3333333393359539,1.489502798879272e-09,100000,0.0
2006-07-31,0.3333333284430326,0.33333333378566915,0.3333333377712982,3.6051512330992352e-09,100000,0.0
2006-08-31,0.3333333278151385,0.33333333457317843,0.3333333376116831,1.5750184489959906e-09,100000,0.0
2006-09-30,0.3333333271451639,0.33333333502296564,0.33333333783187047,1.339949207146418e-09,100000,0.0
2006-10-31,0.33333332740203725,0.3333333350282928,0.33333333756967,5.244010226057583e-10,100000,0.0
2006-11-30,0.33333332687025263,0.3333333352002371,0.33333333792951014,1.0635690661509045e-09,100000,0.0
2006-12-31,0.3333333265615086,0.33333333466881787,0.3333333387696734,1.680326544573063e-09,100000,0.0
2007-01-31,0.3333333274274603,0.3333333346345202,0.33333333793801934,1.731903453983108e-09,100000,0.0
2007-02-28,0.3333333275541585,0.33333333528503467,0.3333333371608069,1.5544251441568235e-09,100000,0.0
2007-03-31,0.3333333251950147,0.33333333463472303,0.3333333401702622,6.018910814198364e-09,100000,0.0
2007-04-30,0.33333332587051706,0.3333333356193843,0.33333333851009855,3.320327290889935e-09,100000,0.0
2007-05-31,0.33333332640726354,0.3333333344224738,0.33333333917026264,2.393821030288734e-09,100000,0.0
2007-06-30,0.3333333275742473,0.3333333337233452,0.33333333870240767,2.3339672972078063e-09,100000,0.0
2007-07-31,0.3333333278342733,0.33333333338971194,0.3333333387760149,6.672665198159677e-10,100000,0.0
2007-08-31,0.33333332651508435,0.3333333343471571,0.33333333913775853,2.6383777385063922e-09,100000,0.0
2007-09-30,0.3333333253085515,0.3333333340085268,0.33333334068292153,3.090326161636625e-09,100000,0.0
2007-10-31,0.33333332956432066,0.333333331296739,0.33333333913894053,8.511538029942756e-09,100000,0.0
2007-11-30,0.33333332877494704,0.33333333123698927,0.33333333998806364,1.6982464323689328e-09,100000,0.0
2007-12-31,0.33333332959168,0.33333333322586756,0.33333333718245245,5.611222431145535e-09,100000,0.0
2008-01-31,0.33333332941911076,0.3333333368341337,0.3333333337467554,7.216532427190003e-09,100000,0.0
2008-02-29,0.33333333251980907,0.3333333358081738,0.33333333167201695,6.201396618443766e-09,100000,0.0
2008-03-31,0.33333333906218116,0.3333333352211934,0.33333332571662555,1.30847438994941e-08,100000,0.0
2008-04-30,0.33333334003410425,0.33333333575544255,0.3333333242104531,3.0123447070096177e-09,100000,0.0
2008-05-31,0.3333333406117178,0.3333333357320059,0.33333332365627627,1.1552270251513619e-09,100000,0.0
2008-06-30,0.3333333399987104,0.33333333512955776,0.333333324871732,2.43091130558426e-09,100000,0.0
2008-07-31,0.3333333402430214,0.3333333352682519,0.33333332448872666,7.660104772710952e-10,100000,0.0
2008-08-31,0.3333333405675936,0.3333333364349987,0.33333332299740764,2.9826380254505125e-09,100000,0.0
2008-09-30,0.33333334030131595,0.33333333678535587,0.33333332291332823,7.007142643900011e-10,100000,0.0
2008-10-31,0.33333334171408924,0.33333333589791314,0.3333333223879976,2.8255466300031173e-09,100000,0.0
2008-11-30,0.3333333427203684,0.33333333496383566,0.3333333223157961,2.0125581756680333e-09,100000,0.0
2008-12-31,0.3333333416080258,0.33333333599636633,0.33333332239560776,2.224684936269483e-09,100000,0.0
2009-01-31,0.3333333402611802,0.33333333724657455,0.3333333224922454,2.6936914365727205e-09,100000,0.0
2009-02-28,0.33333334113062735,0.333333336439511,0.33333332242986163,1.7388944173468701e-09,100000,0.0
2009-03-31,0.33684774686954544,0.33375240131807055,0.3293998518123839,0.00786694123495535,1,0.0
2009-04-30,0.33675653932379274,0.3337899658425665,0.3294534948336407,0.0001824150915054612,1,0.0
2009-05-31,0.33691341322398377,0.3337253561283387,0.3293612306476774,0.0003137478003821248,1,0.0
2009-06-30,0.3370118670081468,0.33368480718519605,0.32930332580665717,0.00019690756832591028,1,0.0
2009-07-31,0.3364420366587204,0.33340910755139486,0.33014885578988473,0.001691059966455133,1,0.0
2009-08-31,0.3361045096739622,0.33326225593619185,0.3306332343898458,0.0009687571999222877,1,0.0
2009-09-30,0.33555665943342283,0.33301114916361285,0.33143219140296437,0.0015979140262369351,1,0.0
2009-10-31,0.33532130875549787,0.3329223991245595,0.33175629211994273,0.0006482014339566633,1,0.0
2009-11-30,0.3353059539086298,0.33287517167207664,0.33181887441929364,0.0001251645987018768,1,0.0
2009-12-31,0.33523021712051093,0.3328925237212718,0.3318772591582173,0.00015147357623768176,1,0.0
2010-01-31,0.3353839635839796,0.3328021184605337,0.33181391795548665,0.000307492926937436,1,0.0
2010-02-28,0.33512314128144843,0.3327498951899379,0.33212696352861365,0.0006260911462539487,1,0.0
2010-03-31,0.33453351550323646,0.33257687540287284,0.3328896090938907,0.0015252911305541073,1,0.0
2010-04-30,0.3345746992945417,0.33255889122718346,0.33286640947827484,8.236758261048749e-05,1,0.0
2010-05-31,0.33450065662097267,0.3325665949630341,0.33293274841599324,0.00014808534713806054,1,0.0
2010-06-30,0.33455070669104736,0.3326750737361188,0.33277421957283393,0.00031705768631873354,1,0.0
2010-07-31,0.3347144155636865,0.3328469132887883,0.3324386711475251,0.000671096850617392,1,0.0
2010-08-31,0.33465762869399934,0.33281897165997976,0.33252339964602096,0.00016945699699150163,1,0.0
2010-09-30,0.3344629098092211,0.33282172651708475,0.3327153636736941,0.00038943776955635556,1,0.0
