iteration_id,pass_number,candidate_name,parent_version,candidate_version,accepted,reason,gross_sharpe_old,gross_sharpe_new,net_sharpe_25_old,net_sharpe_25_new,net_sharpe_50_old,net_sharpe_50_new,ff5_alpha_old,ff5_alpha_new,max_dd_old,max_dd_new,turnover_old,turnover_new,lambda_extreme_share_old,lambda_extreme_share_new,weight_instability_old,weight_instability_new,live_months_old,live_months_new
1,1,candidate_1_validation_36m,baseline,baseline__candidate_1_validation_36m,YES,accepted: net_sharpe_25 improved,-0.3516641010587667,-0.3338621027572904,-0.35317278813574027,-0.3353838350181869,-0.3546819384564411,-0.3369061033971885,-0.03800903864330943,-0.03351446148873588,-0.08608026829291049,-0.08391302430541159,0.0046381105181466575,0.004791748705850666,1.0,1.0,0.0046381105181466575,0.004791748705850666,15,15
2,1,candidate_2_validation_48m,baseline__candidate_1_validation_36m,baseline__candidate_1_validation_36m__candidate_2_validation_48m,YES,accepted: net_sharpe_25 improved,-0.3338621027572904,-0.2975084827036381,-0.3353838350181869,-0.29907879870498083,-0.3369061033971885,-0.3006494023388783,-0.03351446148873588,-0.024666693365687605,-0.08391302430541159,-0.07966692772203865,0.004791748705850666,0.005147013937696991,1.0,1.0,0.004791748705850666,0.005147013937696991,15,15
3,1,candidate_3_lambda_smoothing,baseline__candidate_1_validation_36m__candidate_2_validation_48m,baseline__candidate_1_validation_36m__candidate_2_validation_48m__candidate_3_lambda_smoothing,NO,rejected: net_sharpe_25 worse,-0.2975084827036381,-0.2975084827036381,-0.29907879870498083,-0.29907879870498083,-0.3006494023388783,-0.3006494023388783,-0.024666693365687605,-0.024666693365687605,-0.07966692772203865,-0.07966692772203865,0.005147013937696991,0.005147013937696991,1.0,1.0,0.005147013937696991,0.005147013937696991,15,15
4,1,candidate_4_z_clip_3,baseline__candidate_1_validation_36m__candidate_2_validation_48m,baseline__candidate_1_validation_36m__candidate_2_validation_48m__candidate_4_z_clip_3,NO,rejected: net_sharpe_25 worse,-0.2975084827036381,-0.2975084827036381,-0.29907879870498083,-0.29907879870498083,-0.3006494023388783,-0.3006494023388783,-0.024666693365687605,-0.024666693365687605,-0.07966692772203865,-0.07966692772203865,0.005147013937696991,0.005147013937696991,1.0,1.0,0.005147013937696991,0.005147013937696991,15,15
5,1,candidate_5_factor_cap_60,baseline__candidate_1_validation_36m__candidate_2_validation_48m,baseline__candidate_1_validation_36m__candidate_2_validation_48m__candidate_5_factor_cap_60,NO,rejected: net_sharpe_25 worse,-0.2975084827036381,-0.2975084827036381,-0.29907879870498083,-0.29907879870498083,-0.3006494023388783,-0.3006494023388783,-0.024666693365687605,-0.024666693365687605,-0.07966692772203865,-0.07966692772203865,0.005147013937696991,0.005147013937696991,1.0,1.0,0.005147013937696991,0.005147013937696991,15,15
6,1,candidate_6_gamma_050,baseline__candidate_1_validation_36m__candidate_2_validation_48m,baseline__candidate_1_validation_36m__candidate_2_validation_48m__candidate_6_gamma_050,NO,rejected: net_sharpe_25 worse,-0.2975084827036381,-0.31249008426878805,-0.29907879870498083,-0.31328879633290324,-0.3006494023388783,-0.31408759740908165,-0.024666693365687605,-0.03182026577932974,-0.07966692772203865,-0.08216415292815005,0.005147013937696991,0.002654119165491109,1.0,1.0,0.005147013937696991,0.002654119165491109,15,15
7,1,candidate_7_gamma_025,baseline__candidate_1_validation_36m__candidate_2_validation_48m,baseline__candidate_1_validation_36m__candidate_2_validation_48m__candidate_7_gamma_025,NO,rejected: net_sharpe_25 worse,-0.2975084827036381,-0.31110568997627697,-0.29907879870498083,-0.3117129315011026,-0.3006494023388783,-0.31232028805504664,-0.024666693365687605,-0.03613115966982558,-0.07966692772203865,-0.08306990390507829,0.005147013937696991,0.0019916983779443174,1.0,0.5,0.005147013937696991,0.0019916983779443174,15,15
8,1,candidate_8_cov_shrink_025,baseline__candidate_1_validation_36m__candidate_2_validation_48m,baseline__candidate_1_validation_36m__candidate_2_validation_48m__candidate_8_cov_shrink_025,NO,rejected: net_sharpe_25 worse,-0.2975084827036381,-0.2978279023410406,-0.29907879870498083,-0.29939550197207326,-0.3006494023388783,-0.30096338910909265,-0.024666693365687605,-0.02482031604779724,-0.07966692772203865,-0.07972013592389027,0.005147013937696991,0.005139978562683145,1.0,1.0,0.005147013937696991,0.005139978562683145,15,15
9,1,candidate_9_cov_shrink_050,baseline__candidate_1_validation_36m__candidate_2_validation_48m,baseline__candidate_1_validation_36m__candidate_2_validation_48m__candidate_9_cov_shrink_050,NO,rejected: net_sharpe_25 worse,-0.2975084827036381,-0.2981484805371266,-0.29907879870498083,-0.2997133055664817,-0.3006494023388783,-0.3012784179515872,-0.024666693365687605,-0.024974809354703188,-0.07966692772203865,-0.07977366450792378,0.005147013937696991,0.00513276408485898,1.0,1.0,0.005147013937696991,0.00513276408485898,15,15
10,1,candidate_10_lambda_net25,baseline__candidate_1_validation_36m__candidate_2_validation_48m,baseline__candidate_1_validation_36m__candidate_2_validation_48m__candidate_10_lambda_net25,NO,rejected: net_sharpe_25 worse,-0.2975084827036381,-0.2975084827036381,-0.29907879870498083,-0.29907879870498083,-0.3006494023388783,-0.3006494023388783,-0.024666693365687605,-0.024666693365687605,-0.07966692772203865,-0.07966692772203865,0.005147013937696991,0.005147013937696991,1.0,1.0,0.005147013937696991,0.005147013937696991,15,15
11,1,candidate_11_add_vix,baseline__candidate_1_validation_36m__candidate_2_validation_48m,baseline__candidate_1_validation_36m__candidate_2_validation_48m__candidate_11_add_vix,NO,rejected: turnover worsened beyond guardrail,-0.2975084827036381,-0.291582444981686,-0.29907879870498083,-0.2943502479409962,-0.3006494023388783,-0.2971179777913163,-0.024666693365687605,-0.02221106495396079,-0.07966692772203865,-0.07853628735327955,0.005147013937696991,0.009159266185169298,1.0,1.0,0.005147013937696991,0.009159266185169298,15,15
12,1,candidate_12_vix_plus_clip,baseline__candidate_1_validation_36m__candidate_2_validation_48m,baseline__candidate_1_validation_36m__candidate_2_validation_48m__candidate_12_vix_plus_clip,NO,rejected: candidate 11 not accepted previously,-0.2975084827036381,-0.2975084827036381,-0.29907879870498083,-0.29907879870498083,-0.3006494023388783,-0.3006494023388783,-0.024666693365687605,-0.024666693365687605,-0.07966692772203865,-0.07966692772203865,0.005147013937696991,0.005147013937696991,1.0,1.0,0.005147013937696991,0.005147013937696991,15,15
13,2,candidate_1_validation_36m,baseline__candidate_1_validation_36m__candidate_2_validation_48m,baseline__candidate_1_validation_36m__candidate_2_validation_48m__candidate_1_validation_36m,NO,rejected: net_sharpe_25 worse,-0.2975084827036381,-0.3338621027572904,-0.29907879870498083,-0.3353838350181869,-0.3006494023388783,-0.3369061033971885,-0.024666693365687605,-0.03351446148873588,-0.07966692772203865,-0.08391302430541159,0.005147013937696991,0.004791748705850666,1.0,1.0,0.005147013937696991,0.004791748705850666,15,15
14,2,candidate_2_validation_48m,baseline__candidate_1_validation_36m__candidate_2_validation_48m,baseline__candidate_1_validation_36m__candidate_2_validation_48m__candidate_2_validation_48m,NO,rejected: no change from accepted version,-0.2975084827036381,-0.2975084827036381,-0.29907879870498083,-0.29907879870498083,-0.3006494023388783,-0.3006494023388783,-0.024666693365687605,-0.024666693365687605,-0.07966692772203865,-0.07966692772203865,0.005147013937696991,0.005147013937696991,1.0,1.0,0.005147013937696991,0.005147013937696991,15,15
15,2,candidate_3_lambda_smoothing,baseline__candidate_1_validation_36m__candidate_2_validation_48m,baseline__candidate_1_validation_36m__candidate_2_validation_48m__candidate_3_lambda_smoothing,NO,rejected: net_sharpe_25 worse,-0.2975084827036381,-0.2975084827036381,-0.29907879870498083,-0.29907879870498083,-0.3006494023388783,-0.3006494023388783,-0.024666693365687605,-0.024666693365687605,-0.07966692772203865,-0.07966692772203865,0.005147013937696991,0.005147013937696991,1.0,1.0,0.005147013937696991,0.005147013937696991,15,15
16,2,candidate_4_z_clip_3,baseline__candidate_1_validation_36m__candidate_2_validation_48m,baseline__candidate_1_validation_36m__candidate_2_validation_48m__candidate_4_z_clip_3,NO,rejected: net_sharpe_25 worse,-0.2975084827036381,-0.2975084827036381,-0.29907879870498083,-0.29907879870498083,-0.3006494023388783,-0.3006494023388783,-0.024666693365687605,-0.024666693365687605,-0.07966692772203865,-0.07966692772203865,0.005147013937696991,0.005147013937696991,1.0,1.0,0.005147013937696991,0.005147013937696991,15,15
17,2,candidate_5_factor_cap_60,baseline__candidate_1_validation_36m__candidate_2_validation_48m,baseline__candidate_1_validation_36m__candidate_2_validation_48m__candidate_5_factor_cap_60,NO,rejected: net_sharpe_25 worse,-0.2975084827036381,-0.2975084827036381,-0.29907879870498083,-0.29907879870498083,-0.3006494023388783,-0.3006494023388783,-0.024666693365687605,-0.024666693365687605,-0.07966692772203865,-0.07966692772203865,0.005147013937696991,0.005147013937696991,1.0,1.0,0.005147013937696991,0.005147013937696991,15,15
18,2,candidate_6_gamma_050,baseline__candidate_1_validation_36m__candidate_2_validation_48m,baseline__candidate_1_validation_36m__candidate_2_validation_48m__candidate_6_gamma_050,NO,rejected: net_sharpe_25 worse,-0.2975084827036381,-0.31249008426878805,-0.29907879870498083,-0.31328879633290324,-0.3006494023388783,-0.31408759740908165,-0.024666693365687605,-0.03182026577932974,-0.07966692772203865,-0.08216415292815005,0.005147013937696991,0.002654119165491109,1.0,1.0,0.005147013937696991,0.002654119165491109,15,15
19,2,candidate_7_gamma_025,baseline__candidate_1_validation_36m__candidate_2_validation_48m,baseline__candidate_1_validation_36m__candidate_2_validation_48m__candidate_7_gamma_025,NO,rejected: net_sharpe_25 worse,-0.2975084827036381,-0.31110568997627697,-0.29907879870498083,-0.3117129315011026,-0.3006494023388783,-0.31232028805504664,-0.024666693365687605,-0.03613115966982558,-0.07966692772203865,-0.08306990390507829,0.005147013937696991,0.0019916983779443174,1.0,0.5,0.005147013937696991,0.0019916983779443174,15,15
20,2,candidate_8_cov_shrink_025,baseline__candidate_1_validation_36m__candidate_2_validation_48m,baseline__candidate_1_validation_36m__candidate_2_validation_48m__candidate_8_cov_shrink_025,NO,rejected: net_sharpe_25 worse,-0.2975084827036381,-0.2978279023410406,-0.29907879870498083,-0.29939550197207326,-0.3006494023388783,-0.30096338910909265,-0.024666693365687605,-0.02482031604779724,-0.07966692772203865,-0.07972013592389027,0.005147013937696991,0.005139978562683145,1.0,1.0,0.005147013937696991,0.005139978562683145,15,15
