strategy,model,return_basis,alpha,alpha_t,alpha_p,R2,adj_R2,beta_MktRF,beta_SMB,beta_HML,beta_RMW,beta_CMA,sample_ok
strategy_4_S1,CAPM,raw,0.005524564720334692,3.2453324971628743,0.0011731355825197964,0.004452283597884521,0.001031157424681406,-0.032424550800525816,,,,,True
strategy_4_S1,FF3,raw,0.004585908245460673,4.989808876084581,6.043906125648269e-07,0.541459993720489,0.536700062859456,-0.057859604955931225,0.17499260864586216,0.4281162447029624,,,True
strategy_4_S1,FF5,raw,0.0022364757248439413,2.704840803617328,0.006833713069059777,0.6682203197726257,0.6624401859707552,0.016775945650371583,0.26810135330394674,0.2160673916782669,0.27836540932812576,0.33655736203529396,True
static_basket,CAPM,raw,0.0029158384993807985,1.9281576992958693,0.05383551392007875,0.0101639142567026,0.006762415680265144,-0.03807096432786332,,,,,True
static_basket,FF3,raw,0.0020007326584920836,4.565170953604673,4.990874581498126e-06,0.8553269882541037,0.8538251922844231,-0.06238857501586772,0.16810533302949068,0.4183929687122316,,,True
static_basket,FF5,raw,-7.973488580366601e-18,-5.551036943268276,2.8398005973782364e-08,1.0,1.0,4.380358658078043e-17,0.2500000000000002,0.24999999999999958,0.25000000000000017,0.25000000000000017,True
good_only,CAPM,raw,0.0013227952675555579,0.6911613560562125,0.4894641458376714,0.025316705140734586,0.021967278010634028,0.08448618715554528,,,,,True
good_only,FF3,raw,-5.094472607806818e-19,-0.3910911360834989,0.6957298723032879,1.0,1.0,-1.6365323548245142e-16,0.5000000000000003,0.5000000000000003,,,True
good_only,FF5,raw,2.3031069860038237e-17,5.855765392687066,4.748181117571192e-09,1.0,1.0,-1.2451372562188656e-16,0.5000000000000006,0.4999999999999992,-6.998349902441381e-17,2.2706221232338034e-16,True
bad_only,CAPM,raw,0.004508881731206038,3.367786932944322,0.0007577413156956208,0.15324714244378979,0.150337338809576,-0.16062811581127184,,,,,True
bad_only,FF3,raw,0.004001465316984168,4.565170953604672,4.990874581498164e-06,0.5098561799616848,0.5047681818297991,-0.12477715003173527,-0.1637893339410189,0.33678593742446283,,,True
bad_only,FF5,raw,-3.9848108895880224e-17,-6.404624958867953,1.5073945333815381e-10,1.0,1.0,2.0341473570704395e-16,-1.8584171448847334e-16,-1.3421531158398374e-16,0.5000000000000001,0.5,True
mkt_rf_benchmark,CAPM,raw,1.233731084407169e-19,0.08446556031932213,0.9326862838438325,1.0,1.0,0.9999999999999996,,,,,True
mkt_rf_benchmark,FF3,raw,1.3199656391254194e-18,0.7061149918015263,0.480116629340263,1.0,1.0,0.9999999999999994,-3.258766257244426e-16,6.323557331514902e-17,,,True
mkt_rf_benchmark,FF5,raw,1.637360543902499e-16,6.386368994214067,1.6987082711463257e-10,1.0,1.0,1.0000000000000002,1.3155902661502876e-16,7.543614491878346e-16,-1.2766718383357178e-16,1.180388701678768e-16,True
