strategy,model,DW,BP_p,JB_p,max_VIF,adj_R2
strategy_4_S1,CAPM,1.8164257602529412,0.004049174428912473,3.24443128550685e-28,,0.001031157424681406
strategy_4_S1,FF3,1.928774457609749,0.0009706720484661492,8.253156868590726e-11,1.1730321463277031,0.536700062859456
strategy_4_S1,FF5,1.9339492923346553,2.0676305121003834e-05,0.0009841519248381296,2.0060373925691755,0.6624401859707552
static_basket,CAPM,1.7255138514890056,7.429366105179288e-06,4.0250602657213897e-29,,0.006762415680265144
static_basket,FF3,1.6986393402422904,0.0001024235867312228,9.010104559009369e-14,1.1730321463277031,0.8538251922844231
static_basket,FF5,1.4912793071555408,9.925275651992317e-20,3.618098385459538e-08,2.0060373925691755,1.0
good_only,CAPM,1.8531573249364444,0.0004338138040804295,2.9612420453372346e-08,,0.021967278010634028
good_only,FF3,1.8635941251813142,1.2431948689517977e-05,1.659283561567213e-08,1.1730321463277031,1.0
good_only,FF5,1.146458925483232,1.0498167615616385e-29,2.115804891684186e-15,2.0060373925691755,1.0
bad_only,CAPM,1.6916080819900938,0.0019083095762872713,1.6035761326242802e-53,,0.150337338809576
bad_only,FF3,1.69863934024229,0.00010242358673121963,9.010104559007548e-14,1.1730321463277031,0.5047681818297991
bad_only,FF5,0.14165871160012777,3.687386500926526e-58,0.1755658691005436,2.0060373925691755,1.0
mkt_rf_benchmark,CAPM,1.8872627523383372,0.01593301320185968,1.966935099653279e-06,,1.0
mkt_rf_benchmark,FF3,1.9583045917831505,0.1778135743781218,0.0019102863538288943,1.1730321463277031,1.0
mkt_rf_benchmark,FF5,0.05439012177960271,6.891839645873787e-58,2.5250134134409986e-12,2.0060373925691755,1.0
