,z_mkt_rf_3m,z_TERM,z_dDEF,z_EPU,z_dTERM,z_spread_3m,z_spread_vol_12m,z_cyclical_3m,z_DEF,z_spread_12m,z_defensive_3m,z_VIX
z_mkt_rf_3m,1.0,-0.04073445323732805,-0.3799945667133843,-0.16769020364895296,0.03377688309684299,0.45181112276161867,-0.04338211864236456,0.09820848361473608,-0.3071330010291865,0.20441797886925903,-0.46593477645983844,-0.4709296759243304
z_TERM,-0.04073445323732805,1.0,-0.033555768298733774,0.1815023739455032,0.1369662575950545,0.17524293210035616,-0.15768960942759983,0.23831768023218775,0.22307278818777238,0.2925478027491624,0.07095896592927323,0.017858526971011708
z_dDEF,-0.3799945667133843,-0.033555768298733774,1.0,0.09204743522099898,0.012690780522713007,-0.24807261637047542,-0.049477012068627244,-0.164833916319065,0.2506871140341077,-0.08980275372627489,0.13418370060790794,0.3182236422048318
z_EPU,-0.16769020364895296,0.1815023739455032,0.09204743522099898,1.0,0.06923525982502973,-0.18208194698064983,0.15010771147648738,-0.12685892811097713,0.4082399623110322,-0.30532858609386654,0.08172781124973698,0.42354787651569453
z_dTERM,0.03377688309684299,0.1369662575950545,0.012690780522713007,0.06923525982502973,1.0,0.08413460866020336,0.07197940330321011,0.09532782393204149,0.08525280049318607,-0.03661789691939726,0.003178652752927525,0.09770923872328063
z_spread_3m,0.45181112276161867,0.17524293210035616,-0.24807261637047542,-0.18208194698064983,0.08413460866020336,1.0,0.04302246466413797,0.6881315224254362,-0.16548100246142713,0.47427092455815584,-0.504839400435783,-0.29404260438534685
z_spread_vol_12m,-0.04338211864236456,-0.15768960942759983,-0.049477012068627244,0.15010771147648738,0.07197940330321011,0.04302246466413797,1.0,0.18894848361125577,0.158282694272132,0.005078590924627348,0.13046966676850652,0.4551789785801536
z_cyclical_3m,0.09820848361473608,0.23831768023218775,-0.164833916319065,-0.12685892811097713,0.09532782393204149,0.6881315224254362,0.18894848361125577,1.0,-0.0989095436389632,0.4099359349770904,0.24912227456400735,-0.16467671275408027
z_DEF,-0.3071330010291865,0.22307278818777238,0.2506871140341077,0.4082399623110322,0.08525280049318607,-0.16548100246142713,0.158282694272132,-0.0989095436389632,1.0,-0.31641837048416216,0.06716238788837132,0.5720921049855107
z_spread_12m,0.20441797886925903,0.2925478027491624,-0.08980275372627489,-0.30532858609386654,-0.03661789691939726,0.47427092455815584,0.005078590924627348,0.4099359349770904,-0.31641837048416216,1.0,-0.1360869205937582,-0.4323457276612157
z_defensive_3m,-0.46593477645983844,0.07095896592927323,0.13418370060790794,0.08172781124973698,0.003178652752927525,-0.504839400435783,0.13046966676850652,0.24912227456400735,0.06716238788837132,-0.1360869205937582,1.0,0.16124833978967124
z_VIX,-0.4709296759243304,0.017858526971011708,0.3182236422048318,0.42354787651569453,0.09770923872328063,-0.29404260438534685,0.4551789785801536,-0.16467671275408027,0.5720921049855107,-0.4323457276612157,0.16124833978967124,1.0
