,z_dTERM,z_TERM,z_cyclical_3m,z_VIX,z_EPU,z_spread_3m,z_spread_12m,z_defensive_3m,z_DEF,z_mkt_rf_3m,z_spread_vol_12m
z_dTERM,1.0,0.14234458416302945,0.12806804160203628,0.07551500590966172,0.08909257080476866,0.10967037235337662,-0.1571433910762006,-0.10217468555435802,0.04444994673449245,0.06966946732013161,0.03941586690985819
z_TERM,0.14234458416302945,1.0,0.25433528559176094,0.22432885099651212,0.1758960909205517,0.32655459960366107,0.49227941696446903,-0.17636833733056143,0.3237373536809914,0.03855923250248966,-0.3407443894650633
z_cyclical_3m,0.12806804160203628,0.25433528559176094,1.0,-0.030133469203678293,-0.009368328118587139,0.7459730457208062,0.4357575469845903,0.03844665771584253,-0.23220643305030272,0.2566577392634238,-0.03370898997611367
z_VIX,0.07551500590966172,0.22432885099651212,-0.030133469203678293,1.0,0.5523423792550444,0.03103124976082171,0.11866750707565911,-0.27895119987635986,0.6702652609626443,-0.5537174355755938,0.3573066989198604
z_EPU,0.08909257080476866,0.1758960909205517,-0.009368328118587139,0.5523423792550444,1.0,-0.0169602600828584,-0.07379035849646248,-0.12161887184494527,0.28495587577346965,-0.16918358504452086,0.5190995427466837
z_spread_3m,0.10967037235337662,0.32655459960366107,0.7459730457208062,0.03103124976082171,-0.0169602600828584,1.0,0.5563991768440975,-0.5635512838578508,-0.1797969592400513,0.03847251846160326,-0.08701734911066435
z_spread_12m,-0.1571433910762006,0.49227941696446903,0.4357575469845903,0.11866750707565911,-0.07379035849646248,0.5563991768440975,1.0,-0.2534917360595528,-0.06326655045208474,-0.16313241921136518,0.04913721686484513
z_defensive_3m,-0.10217468555435802,-0.17636833733056143,0.03844665771584253,-0.27895119987635986,-0.12161887184494527,-0.5635512838578508,-0.2534917360595528,1.0,-0.2154881672219917,0.09970533493379906,0.16274211371873393
z_DEF,0.04444994673449245,0.3237373536809914,-0.23220643305030272,0.6702652609626443,0.28495587577346965,-0.1797969592400513,-0.06326655045208474,-0.2154881672219917,1.0,-0.3495319367356393,0.1084225289329619
z_mkt_rf_3m,0.06966946732013161,0.03855923250248966,0.2566577392634238,-0.5537174355755938,-0.16918358504452086,0.03847251846160326,-0.16313241921136518,0.09970533493379906,-0.3495319367356393,1.0,0.06341781689727632
z_spread_vol_12m,0.03941586690985819,-0.3407443894650633,-0.03370898997611367,0.3573066989198604,0.5190995427466837,-0.08701734911066435,0.04913721686484513,0.16274211371873393,0.1084225289329619,0.06341781689727632,1.0
