series,capm_alpha,ff3_alpha,ff5_alpha,capm_alpha_t,ff3_alpha_t,ff5_alpha_t,capm_alpha_p,ff3_alpha_p,ff5_alpha_p,capm_r_squared,ff3_r_squared,ff5_r_squared
FF_Direct_0bps,0.0023,0.0014,-0.0008,1.9031,1.7853,-1.2196,0.057,0.0742,0.2226,0.0924,0.4876,0.6679
FF_Direct_25bps,0.0021,0.0013,-0.001,1.7817,1.6033,-1.5115,0.0748,0.1089,0.1307,0.0942,0.4873,0.6717
FF_Direct_50bps,0.002,0.0011,-0.0011,1.6562,1.4137,-1.8043,0.0977,0.1574,0.0712,0.0958,0.486,0.6743
FF_Direct_75bps,0.0018,0.001,-0.0013,1.5269,1.2175,-2.0944,0.1268,0.2234,0.0362,0.0974,0.4839,0.6756
FF_Direct_Gross,0.0023,0.0014,-0.0008,1.9031,1.7853,-1.2196,0.057,0.0742,0.2226,0.0924,0.4876,0.6679
Self_Built_0bps,0.0028,0.0042,0.004,0.7535,1.1686,1.194,0.4512,0.2426,0.2325,0.0095,0.0859,0.1234
Self_Built_25bps,0.0026,0.004,0.0039,0.711,1.1209,1.1427,0.4771,0.2623,0.2532,0.0098,0.085,0.1238
Self_Built_50bps,0.0024,0.0038,0.0037,0.6684,1.073,1.0911,0.5039,0.2833,0.2752,0.01,0.0842,0.1242
Self_Built_75bps,0.0023,0.0037,0.0035,0.6256,1.025,1.0391,0.5316,0.3054,0.2988,0.0103,0.0833,0.1246
Self_Built_Gross,0.0028,0.0042,0.004,0.7535,1.1686,1.194,0.4512,0.2426,0.2325,0.0095,0.0859,0.1234
