series,n_months,mean_annual,vol_annual,sharpe_annual,t_stat,p_value,max_drawdown,turnover_mean_monthly,ff5_alpha,ff5_alpha_t,ff5_alpha_p,ff5_r_squared
FF_Direct_0bps,391,0.0388,0.0715,0.5422,3.095,0.0021,-0.1891,0.0,-0.0008,-1.2196,0.2226,0.6679
FF_Direct_25bps,391,0.0367,0.0712,0.5154,2.942,0.0035,-0.1891,0.0,-0.001,-1.5115,0.1307,0.6717
FF_Direct_50bps,391,0.0346,0.0709,0.4879,2.7851,0.0056,-0.1891,0.0,-0.0011,-1.8043,0.0712,0.6743
FF_Direct_75bps,391,0.0325,0.0708,0.4598,2.6246,0.009,-0.1891,0.0,-0.0013,-2.0944,0.0362,0.6756
FF_Direct_Gross,391,0.0388,0.0715,0.5422,3.095,0.0021,-0.1891,0.0,-0.0008,-1.2196,0.2226,0.6679
Self_Built_0bps,135,0.0362,0.1302,0.2782,0.933,0.3525,-0.3243,0.0,0.004,1.194,0.2325,0.1234
Self_Built_25bps,135,0.0342,0.1302,0.2627,0.8813,0.3798,-0.3309,0.0,0.0039,1.1427,0.2532,0.1238
Self_Built_50bps,135,0.0322,0.1303,0.2472,0.8293,0.4084,-0.3393,0.0,0.0037,1.0911,0.2752,0.1242
Self_Built_75bps,135,0.0302,0.1304,0.2317,0.7772,0.4384,-0.3508,0.0,0.0035,1.0391,0.2988,0.1246
Self_Built_Gross,135,0.0362,0.1302,0.2782,0.933,0.3525,-0.3243,0.0,0.004,1.194,0.2325,0.1234
