series,capm_alpha,ff3_alpha,ff5_alpha,capm_alpha_t,ff3_alpha_t,ff5_alpha_t,capm_alpha_p,ff3_alpha_p,ff5_alpha_p,capm_r_squared,ff3_r_squared,ff5_r_squared
FF_Direct_0bps,0.0007,0.0005,-0.0003,1.1318,0.7917,-0.6271,0.2577,0.4285,0.5306,0.0044,0.1971,0.2961
FF_Direct_25bps,0.0005,0.0003,-0.0005,0.8486,0.4904,-0.9663,0.3961,0.6238,0.3339,0.0047,0.1924,0.2932
FF_Direct_50bps,0.0004,0.0001,-0.0007,0.5691,0.1954,-1.287,0.5693,0.8451,0.1981,0.005,0.1864,0.2883
FF_Direct_75bps,0.0002,-0.0001,-0.0009,0.2965,-0.0898,-1.5856,0.7669,0.9284,0.1128,0.0053,0.1794,0.2815
FF_Direct_Gross,0.0007,0.0005,-0.0003,1.1318,0.7917,-0.6271,0.2577,0.4285,0.5306,0.0044,0.1971,0.2961
Self_Built_0bps,-0.0008,-0.0008,-0.0009,-0.4195,-0.399,-0.4724,0.6748,0.6899,0.6366,0.0253,0.031,0.039
Self_Built_25bps,-0.001,-0.0009,-0.0011,-0.5046,-0.4841,-0.5669,0.6139,0.6283,0.5708,0.0259,0.0322,0.0399
Self_Built_50bps,-0.0012,-0.0011,-0.0012,-0.589,-0.5689,-0.6611,0.5558,0.5694,0.5086,0.0264,0.0333,0.0408
Self_Built_75bps,-0.0013,-0.0013,-0.0014,-0.6727,-0.6532,-0.7548,0.5011,0.5137,0.4504,0.0269,0.0345,0.0417
Self_Built_Gross,-0.0008,-0.0008,-0.0009,-0.4195,-0.399,-0.4724,0.6748,0.6899,0.6366,0.0253,0.031,0.039
