series,n_months,mean_annual,vol_annual,sharpe_annual,t_stat,p_value,max_drawdown,turnover_mean_monthly,ff5_alpha,ff5_alpha_t,ff5_alpha_p,ff5_r_squared
FF_Direct_0bps,391,0.0311,0.0332,0.9373,5.3501,0.0,-0.1076,0.0,-0.0003,-0.6271,0.5306,0.2961
FF_Direct_25bps,391,0.029,0.0335,0.8662,4.9443,0.0,-0.1098,0.0,-0.0005,-0.9663,0.3339,0.2932
FF_Direct_50bps,391,0.0268,0.0339,0.7927,4.5248,0.0,-0.1123,0.0,-0.0007,-1.287,0.1981,0.2883
FF_Direct_75bps,391,0.0247,0.0344,0.7179,4.098,0.0001,-0.1182,0.0,-0.0009,-1.5856,0.1128,0.2815
FF_Direct_Gross,391,0.0311,0.0332,0.9373,5.3501,0.0,-0.1076,0.0,-0.0003,-0.6271,0.5306,0.2961
Self_Built_0bps,285,-0.0024,0.1009,-0.0237,-0.1156,0.908,-0.3922,0.0,-0.0009,-0.4724,0.6366,0.039
Self_Built_25bps,285,-0.0045,0.1009,-0.0446,-0.2172,0.8282,-0.3938,0.0,-0.0011,-0.5669,0.5708,0.0399
Self_Built_50bps,285,-0.0066,0.1011,-0.0653,-0.3184,0.7504,-0.3955,0.0,-0.0012,-0.6611,0.5086,0.0408
Self_Built_75bps,285,-0.0087,0.1012,-0.086,-0.4192,0.6754,-0.3971,0.0,-0.0014,-0.7548,0.4504,0.0417
Self_Built_Gross,285,-0.0024,0.1009,-0.0237,-0.1156,0.908,-0.3922,0.0,-0.0009,-0.4724,0.6366,0.039
